x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
3.281674,-1.830815,0.340704,3.463838,-1.945534,1.575809,0.215277
3.284057,-1.829970,0.340628,3.463818,-1.941342,1.575687,0.211465
3.286115,-1.829241,0.340560,3.463810,-1.939850,1.575641,0.209309
3.288081,-1.828544,0.340495,3.463796,-1.936741,1.575545,0.206354
3.290176,-1.827802,0.340428,3.463785,-1.934481,1.575475,0.203766
3.291978,-1.827164,0.340370,3.463780,-1.933391,1.575442,0.201991
3.293884,-1.826489,0.340310,3.463767,-1.930671,1.575361,0.199284
3.295529,-1.825907,0.340259,3.463763,-1.929675,1.575331,0.197663
3.297119,-1.825343,0.341375,3.463750,-1.926992,1.575285,0.195189
3.299232,-1.824579,0.352520,3.463746,-1.926063,1.577128,0.193297
3.301059,-1.823896,0.362828,3.463738,-1.925227,1.581224,0.191658
3.304027,-1.822746,0.376518,3.463641,-1.920617,1.603494,0.187231
3.307244,-1.821471,0.378401,3.463618,-1.919947,1.606386,0.184799
3.310953,-1.819996,0.378377,3.463353,-1.913274,1.611277,0.178680
3.314669,-1.818519,0.378309,3.463262,-1.911039,1.611243,0.175043
3.318275,-1.817086,0.378241,3.463101,-1.907057,1.611174,0.170498
3.322115,-1.815560,0.378166,3.462928,-1.902777,1.611099,0.165636
3.325788,-1.814101,0.378092,3.462715,-1.897487,1.611002,0.160320
3.328962,-1.812840,0.378025,3.462575,-1.894003,1.610935,0.156333
3.331679,-1.811761,0.377965,3.462485,-1.891760,1.610891,0.153330
3.334951,-1.810462,0.377891,3.462298,-1.887081,1.610794,0.148618
3.338092,-1.809215,0.377817,3.462228,-1.885349,1.610757,0.145623
3.340808,-1.808138,0.377751,3.462107,-1.882318,1.610691,0.142184
3.343426,-1.807099,0.377685,3.461928,-1.877820,1.610588,0.138001
3.346221,-1.805990,0.377611,3.461818,-1.875065,1.610521,0.134663
3.348643,-1.805030,0.377545,3.461701,-1.872120,1.610448,0.131466
3.350202,-1.804412,0.377501,3.461634,-1.870416,1.610405,0.129514
3.350709,-1.804210,0.377487,3.461590,-1.869306,1.610375,0.128577
3.353425,-1.803134,0.377407,3.461505,-1.867155,1.610318,0.125618
3.355581,-1.802279,0.377341,3.461453,-1.865842,1.610281,0.123487
3.357646,-1.801461,0.377276,3.461361,-1.863526,1.610215,0.120867
3.358977,-1.800933,0.377232,3.461255,-1.860825,1.610135,0.118523
3.360891,-1.800175,0.377167,3.461181,-1.858951,1.610078,0.116245
3.361309,-1.800009,0.377153,3.461163,-1.858497,1.610064,0.115722
3.363545,-1.799124,0.377073,3.461093,-1.856702,1.610005,0.113273
